,match_id,PersonalIncome,HouseholdIncome,age,numkids,NumberInHousehold,DoInStage23-ContactlessDoor,DoInStage23-CurbsidePickup,DoInStage23-InStorePickup,DoInStage23-VisitRetail,DoInStage23-VisitRestaurant,PastYear-ECommerce-Frequency-PreparedFood,PastYear-ECommerce-Frequency-Groceries,PastYear-ECommerce-Frequency-OtherFood,PastYear-ECommerce-Frequency-PaperCleaning,PastYear-ECommerce-Frequency-Clothing,PastYear-ECommerce-Frequency-HomeOffice,PastYear-ECommerce-Frequency-Medication,PastYear-ECommerce-Frequency-ChildcareItems,May-InStore-Trips-PreparedFood,May-InStore-Trips-Groceries,May-InStore-Trips-OtherFood,May-InStore-Trips-PaperCleaning,May-InStore-Trips-Clothing,May-InStore-Trips-HomeOffice,May-InStore-Trips-Medication,May-InStore-Trips-ChildcareItems,May-InStore-Frequency-PreparedFood,May-InStore-Frequency-Groceries,May-InStore-Frequency-OtherFood,May-InStore-Frequency-PaperCleaning,May-InStore-Frequency-Clothing,May-InStore-Frequency-HomeOffice,May-InStore-Frequency-Medication,May-InStore-Frequency-ChildcareItems,May-ECommerce-Orders-PreparedFood,May-ECommerce-Orders-Groceries,May-ECommerce-Orders-OtherFood,May-ECommerce-Orders-PaperCleaning,May-ECommerce-Orders-Clothing,May-ECommerce-Orders-HomeOffice,May-ECommerce-Orders-Medication,May-ECommerce-Orders-ChildcareItems,May-ECommerce-Frequency-PreparedFood,May-ECommerce-Frequency-Groceries,May-ECommerce-Frequency-OtherFood,May-ECommerce-Frequency-PaperCleaning,May-ECommerce-Frequency-Clothing,May-ECommerce-Frequency-HomeOffice,May-ECommerce-Frequency-Medication,May-ECommerce-Frequency-ChildcareItems
2893,56,Prefer not to answer,Prefer not to answer,65 - 74,0,2.0,5,5,1,1,1,Never,Never,Never,Never,Less than 1 time per month,Less than 1 time per month,Never,Less than 1 time per month,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2894,57,"$75,000 - $99,999",No Response,65 - 74,0,1.0,3,2,2,4,3,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0,2,0,0,0,0,0,0,Almost never,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Less than 1 time per week,Never,0,0,0,0,0,0,0,0,Never,Never,Never,Never,Almost never,Less than 1 time per month,Never,Never
2895,58,"$100,000 - $149,999",No Response,60 - 64,0,1.0,4,4,3,3,2,Almost never,Almost never,Almost never,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,2,0,0,0,0,0,0,0,No Response,Never,Never,Never,Never,Never,Never,Never,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2896,59,"Under $10,000","$50,000 - $74,999",35 - 44,2,4.0,2,1,1,4,3,Never,Never,Never,Never,Less than 1 time per month,Never,Never,Less than 1 time per month,2,3,1,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2897,60,"$75,000 - $99,999","$150,000 - $199,999",60 - 64,0,2.0,1,1,1,1,1,About 1 time per week,Never,Never,Never,Never,Never,Never,Never,2,2,0,0,0,0,0,0,No Response,No Response,About 1 time per week,Less than 1 time per month,Almost never,Less than 1 time per month,Almost never,Never,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2898,62,"$100,000 - $149,999","$100,000 - $149,999",60 - 64,0,2.0,1,1,1,5,5,Never,Never,Never,Almost never,Less than 1 time per month,Never,Less than 1 time per month,Less than 1 time per month,0,6,0,6,0,0,-9998,0,Less than 1 time per month,No Response,Almost never,No Response,Less than 1 time per month,Less than 1 time per month,No Response,Almost never,0,0,0,0,0,0,1,0,Never,Never,Never,Less than 1 time per month,Less than 1 time per month,Never,No Response,Less than 1 time per month
2899,63,Prefer not to answer,Prefer not to answer,55 - 59,0,2.0,5,4,4,5,5,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,No Response,Less than 1 time per month,No Response,2,2,2,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2900,64,"$50,000 - $74,999","$75,000 - $99,999",45 - 54,0,2.0,4,1,1,4,4,Less than 1 time per week,Never,Never,Almost never,Less than 1 time per month,Almost never,Almost never,Never,2,1,2,0,0,0,0,0,No Response,No Response,No Response,Never,Never,Never,Never,Never,1,2,0,0,0,0,0,0,No Response,No Response,About 1 time per week,Less than 1 time per week,Less than 1 time per week,Less than 1 time per month,Almost never,Almost never
2901,65,No Response,No Response,35 - 44,1,4.0,-9998,-9998,-9998,4,1,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2902,66,"$50,000 - $74,999","$50,000 - $74,999",45 - 54,0,2.0,3,3,3,4,4,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,2,4,0,0,0,0,2,0,No Response,No Response,Less than 1 time per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,No Response,Never,0,0,0,0,0,0,0,0,Less than 1 time per week,Never,Never,Almost never,Almost never,Less than 1 time per month,Never,Never
2903,67,"$75,000 - $99,999","$100,000 - $149,999",35 - 44,0,2.0,3,4,3,4,4,Almost never,Never,Never,Never,Less than 1 time per month,Almost never,Less than 1 time per month,Never,4,2,0,0,0,0,0,0,No Response,No Response,Almost never,Less than 1 time per month,Less than 1 time per week,Almost never,Less than 1 time per week,Never,1,0,-9998,-9998,1,-9998,-9998,-9998,No Response,Never,No Response,No Response,No Response,No Response,No Response,No Response
2904,68,"$75,000 - $99,999","$75,000 - $99,999",65 - 74,0,2.0,1,4,4,4,4,3 - 5 times per week,2 - 3 times per week,About 1 time per week,Less than 1 time per week,Almost never,Almost never,Never,Never,3,2,1,2,-9998,-9998,3,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,2,0,0,0,0,0,0,0,No Response,Less than 1 time per month,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,Never
2905,69,"Under $10,000","$75,000 - $99,999",60 - 64,0,2.0,1,3,3,4,2,Never,Never,Never,Never,Almost never,Almost never,Never,Never,4,6,0,0,0,2,0,0,No Response,No Response,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,No Response,Almost never,Never,0,0,0,0,0,0,0,0,Never,Never,Almost never,Never,Almost never,Almost never,Never,Never
2906,70,Prefer not to answer,No Response,65 - 74,0,1.0,4,3,2,4,4,Almost never,Almost never,Never,Never,Less than 1 time per month,Almost never,Less than 1 time per week,Never,2,0,0,0,0,0,0,0,No Response,About 1 time per week,Less than 1 time per month,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Never,1,1,0,0,0,0,0,0,No Response,No Response,Almost never,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Never
2907,71,"$15,000 - $24,999",No Response,65 - 74,0,1.0,3,3,3,4,2,Never,Never,Never,Never,Never,Never,Never,Never,-9998,1,-9998,-9998,-9998,-9998,1,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2908,72,"$75,000 - $99,999","$150,000 - $199,999",45 - 54,1,4.0,2,4,5,4,4,2 - 3 times per week,Never,Never,Never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Never,5,1,0,0,0,0,1,0,No Response,No Response,Almost never,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,No Response,Almost never,4,0,0,0,0,-9998,1,0,No Response,Never,Never,Never,Less than 1 time per month,No Response,No Response,Never
2909,73,"$100,000 - $149,999",No Response,35 - 44,0,1.0,5,3,3,3,2,About 1 time per week,About 1 time per week,Almost never,Almost never,Less than 1 time per month,Almost never,About 1 time per week,Almost never,4,4,0,0,0,0,4,0,No Response,No Response,Almost never,Less than 1 time per month,Never,Never,No Response,Never,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2910,74,"$50,000 - $74,999","$50,000 - $74,999",35 - 44,1,2.0,4,1,1,5,5,About 1 time per week,Less than 1 time per week,Less than 1 time per week,Less than 1 time per week,Less than 1 time per week,Less than 1 time per week,Less than 1 time per week,Less than 1 time per month,0,1,0,1,0,0,0,0,About 1 time per week,No Response,Less than 1 time per month,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Almost never,2,1,0,0,0,0,0,0,No Response,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never
2911,75,"$50,000 - $74,999","$50,000 - $74,999",45 - 54,1,3.0,5,2,4,5,5,Less than 1 time per month,Never,Less than 1 time per month,Never,Less than 1 time per month,Less than 1 time per month,Never,Less than 1 time per week,-9998,6,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,2,1,-9998,-9998,-9998,1,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2912,76,"$50,000 - $74,999","$50,000 - $74,999",35 - 44,0,2.0,3,5,4,5,4,Less than 1 time per week,Almost never,Never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Never,4,8,0,0,-9998,-9998,2,0,No Response,No Response,About 1 time per week,Less than 1 time per month,No Response,No Response,No Response,Almost never,3,1,2,0,1,1,0,0,No Response,No Response,No Response,Less than 1 time per month,No Response,No Response,No Response,No Response
2913,77,"$50,000 - $74,999","$150,000 - $199,999",55 - 59,1,3.0,5,3,3,5,5,Almost never,Never,Never,Less than 1 time per month,2 - 3 times per week,Almost never,Almost never,Never,2,6,0,0,2,2,0,0,No Response,No Response,About 1 time per week,Less than 1 time per week,No Response,No Response,Less than 1 time per week,Never,1,0,0,0,1,0,0,0,No Response,Almost never,Almost never,Less than 1 time per month,No Response,Less than 1 time per month,Almost never,Never
2914,78,"$100,000 - $149,999","$150,000 - $199,999",60 - 64,0,2.0,1,3,2,5,4,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,-9998,4,2,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-9998,-9998,-9998,2,2,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2915,79,"$50,000 - $74,999",No Response,65 - 74,0,1.0,1,1,1,4,5,No Response,No Response,Less than 1 time per week,No Response,No Response,No Response,No Response,No Response,0,3,-9998,-9998,-9998,-9998,-9998,-9998,Never,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-9998,-9998,-9998,-9998,-9998,-9998,1,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2916,80,"$100,000 - $149,999","$100,000 - $149,999",55 - 59,0,3.0,5,4,4,2,2,Almost never,Less than 1 time per week,Less than 1 time per week,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,0,2,0,2,0,0,0,0,Almost never,No Response,About 1 time per week,No Response,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Never,0,1,1,0,1,1,0,0,Almost never,No Response,No Response,Almost never,No Response,No Response,Less than 1 time per month,Never
2917,81,"$150,000 - $199,999","$150,000 - $199,999",25 - 34,0,2.0,4,4,2,2,2,Less than 1 time per week,2 - 3 times per week,About 1 time per week,Less than 1 time per month,Less than 1 time per month,Almost never,Almost never,Almost never,0,0,0,0,0,0,0,0,Less than 1 time per week,2 - 3 times per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,0,1,0,0,0,0,0,0,Never,No Response,Never,Almost never,Less than 1 time per month,Almost never,Never,Never
2918,82,"$100,000 - $149,999","$100,000 - $149,999",65 - 74,0,2.0,4,4,3,3,2,About 1 time per week,2 - 3 times per week,About 1 time per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Less than 1 time per month,0,0,0,0,0,0,0,0,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,Almost never,1,1,1,0,1,0,1,1,No Response,No Response,No Response,Less than 1 time per month,No Response,Less than 1 time per month,No Response,No Response
2919,83,"$50,000 - $74,999","$50,000 - $74,999",25 - 34,1,2.0,4,4,4,2,4,Less than 1 time per month,Almost never,Almost never,Almost never,Less than 1 time per month,Less than 1 time per month,Almost never,Almost never,2,1,1,0,0,0,0,0,No Response,No Response,No Response,Less than 1 time per month,Less than 1 time per week,Almost never,Less than 1 time per month,Almost never,1,0,0,0,0,0,0,0,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Almost never,Almost never,Almost never
2920,84,"$150,000 - $199,999","$150,000 - $199,999",45 - 54,3,5.0,5,2,4,2,1,Almost never,Never,Never,Never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,4,2,0,0,0,0,0,0,No Response,No Response,Almost never,Less than 1 time per month,Less than 1 time per month,Almost never,Less than 1 time per month,Less than 1 time per month,2,0,1,0,0,0,0,0,No Response,Almost never,No Response,Almost never,Almost never,Almost never,Less than 1 time per month,Almost never
2921,85,"$75,000 - $99,999",No Response,60 - 64,0,1.0,4,1,1,1,2,Never,Never,Never,Never,Less than 1 time per month,Never,Never,Never,1,0,0,0,0,0,0,0,No Response,About 1 time per week,Never,Less than 1 time per month,Almost never,Almost never,Less than 1 time per week,Never,1,0,0,0,0,0,0,0,No Response,Less than 1 time per month,Never,Never,Less than 1 time per month,Almost never,Never,Never
2922,86,"$75,000 - $99,999","$100,000 - $149,999",65 - 74,0,2.0,4,2,2,4,2,About 1 time per week,Never,Never,No Response,Never,Never,No Response,No Response,3,1,2,-9998,1,1,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,3,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2923,88,"$150,000 - $199,999","$150,000 - $199,999",55 - 59,0,3.0,4,4,3,4,4,About 1 time per week,Never,Never,Never,Never,Never,Never,Never,2,8,0,0,0,0,0,0,No Response,No Response,3 - 5 times per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,1,0,-9998,-9998,-9998,-9998,-9998,-9998,No Response,Less than 1 time per month,No Response,No Response,No Response,No Response,No Response,No Response
2924,89,"$25,000 - $49,999",No Response,55 - 59,0,1.0,3,4,4,3,2,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,0,11,0,0,0,0,-9998,0,Almost never,No Response,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,No Response,Never,0,0,0,0,0,0,2,0,Almost never,Less than 1 time per month,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,No Response,Never
2925,90,"$150,000 - $199,999",No Response,45 - 54,2,1.0,4,4,4,4,4,Less than 1 time per week,2 - 3 times per week,About 1 time per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,-9998,4,0,0,0,0,0,0,No Response,No Response,Less than 1 time per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,2,-9998,0,0,0,0,0,0,No Response,No Response,Almost never,Almost never,Almost never,Almost never,Less than 1 time per month,Almost never
2926,91,"$50,000 - $74,999","$200,000 or more",55 - 59,0,4.0,3,4,4,4,4,Never,Never,Never,Never,Less than 1 time per month,Almost never,Less than 1 time per month,Never,2,4,0,0,0,0,0,0,No Response,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,Less than 1 time per month,Never,1,1,0,0,2,0,0,0,No Response,No Response,Never,Never,No Response,Almost never,Less than 1 time per month,Never
2927,92,"$50,000 - $74,999","$50,000 - $74,999",65 - 74,0,2.0,3,2,3,3,4,2 - 3 times per week,About 1 time per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Almost never,Less than 1 time per month,Never,-9998,2,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2928,93,Don't know,No Response,65 - 74,0,1.0,3,2,3,5,4,About 1 time per week,2 - 3 times per week,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,1,6,-9998,2,1,0,0,0,No Response,No Response,No Response,No Response,No Response,Almost never,Less than 1 time per month,Never,2,0,1,0,0,0,0,0,No Response,Never,No Response,Never,Almost never,Never,Less than 1 time per month,Never
2929,94,"$25,000 - $49,999","$100,000 - $149,999",45 - 54,3,5.0,4,4,4,2,5,Never,Never,Almost never,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,6,6,0,2,-9998,2,2,0,No Response,No Response,Less than 1 time per month,No Response,No Response,No Response,No Response,Less than 1 time per month,0,0,0,0,2,-9998,0,0,2 - 3 times per week,2 - 3 times per week,About 1 time per week,Less than 1 time per week,No Response,No Response,Less than 1 time per month,Less than 1 time per month
2930,95,"$100,000 - $149,999","$100,000 - $149,999",65 - 74,0,2.0,5,3,3,3,3,About 1 time per week,About 1 time per week,About 1 time per week,About 1 time per week,No Response,No Response,No Response,No Response,2,2,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2931,96,"Under $10,000",No Response,55 - 59,0,1.0,1,3,3,5,5,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,2,2,0,0,0,0,0,0,No Response,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,0,0,0,0,0,0,0,0,Never,Almost never,Almost never,Almost never,Less than 1 time per month,Almost never,Almost never,Almost never
2932,97,"$75,000 - $99,999","$150,000 - $199,999",35 - 44,0,2.0,4,4,4,2,2,Never,Never,Never,Never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,0,2,2,0,0,0,0,0,Almost never,No Response,No Response,Less than 1 time per month,Less than 1 time per month,Almost never,Less than 1 time per month,Never,0,1,0,0,1,-9998,1,0,Almost never,No Response,Less than 1 time per week,Less than 1 time per month,No Response,No Response,No Response,Almost never
2933,98,"$50,000 - $74,999","$50,000 - $74,999",25 - 34,0,3.0,5,1,1,2,4,About 1 time per week,Less than 1 time per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per week,Never,Never,Never,0,2,-9998,2,-9998,0,0,0,Less than 1 time per week,No Response,No Response,No Response,No Response,Almost never,Almost never,Never,1,-9998,1,-9998,1,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2934,99,"Under $10,000","$50,000 - $74,999",45 - 54,4,5.0,5,5,5,5,4,About 1 time per week,Less than 1 time per week,Never,Less than 1 time per week,Less than 1 time per week,Almost never,Almost never,Less than 1 time per week,4,5,1,0,0,0,1,0,No Response,No Response,No Response,Almost never,Less than 1 time per week,Almost never,No Response,Less than 1 time per week,2,0,0,2,2,0,2,4,No Response,Less than 1 time per month,Never,No Response,No Response,Almost never,No Response,No Response
2935,100,"$50,000 - $74,999","$50,000 - $74,999",35 - 44,2,4.0,4,5,5,5,3,About 1 time per week,Never,Never,Almost never,Almost never,Almost never,Less than 1 time per week,Less than 1 time per week,2,4,0,2,0,0,2,2,No Response,No Response,Never,No Response,About 1 time per week,Less than 1 time per month,No Response,No Response,3,4,0,2,0,0,1,4,No Response,No Response,Never,No Response,Less than 1 time per month,Less than 1 time per month,No Response,No Response
2936,101,"$25,000 - $49,999",No Response,55 - 59,0,1.0,3,3,3,5,5,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,6,2,0,0,0,0,0,0,No Response,No Response,Never,Less than 1 time per month,Almost never,Less than 1 time per month,Almost never,Never,0,0,0,0,0,0,0,0,Almost never,Never,Never,Never,Never,Less than 1 time per month,Almost never,Never
2937,102,"$100,000 - $149,999",No Response,65 - 74,0,1.0,1,3,4,4,2,Never,Never,Never,Never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,0,2,2,0,0,0,0,0,Less than 1 time per month,No Response,No Response,Less than 1 time per month,Less than 1 time per month,Almost never,Almost never,Never,1,0,0,0,0,0,0,0,No Response,Never,Never,Never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never
2938,103,"$25,000 - $49,999",No Response,65 - 74,0,1.0,4,1,1,2,2,Less than 1 time per month,Less than 1 time per week,Less than 1 time per month,Less than 1 time per week,Less than 1 time per week,Less than 1 time per week,Less than 1 time per week,Less than 1 time per month,0,-9998,0,-9998,0,0,-9998,0,Almost never,No Response,Almost never,No Response,Less than 1 time per month,Almost never,No Response,Almost never,-9998,1,-9998,1,-9998,-9998,1,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2939,104,"$100,000 - $149,999",No Response,60 - 64,0,1.0,1,1,5,5,5,Never,Never,Never,Never,Never,Less than 1 time per month,Less than 1 time per month,Never,2,4,0,2,0,0,2,0,No Response,No Response,Almost never,No Response,Less than 1 time per month,Less than 1 time per month,No Response,Almost never,0,0,0,0,0,0,1,0,Never,Never,Never,Never,Never,Less than 1 time per month,No Response,Never
2940,105,"Under $10,000","$25,000 - $49,999",25 - 34,0,3.0,5,3,3,2,2,Less than 1 time per month,Never,Never,Almost never,Less than 1 time per week,Almost never,Less than 1 time per month,Never,5,1,0,-9998,0,0,1,0,No Response,No Response,Almost never,No Response,Less than 1 time per month,Less than 1 time per month,No Response,Never,1,0,0,0,0,0,1,0,No Response,Never,Never,Less than 1 time per month,Almost never,Almost never,No Response,Never
2941,106,"$25,000 - $49,999",No Response,65 - 74,0,1.0,3,1,1,5,5,Never,Never,Never,Never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,4,2,0,0,0,0,-9998,0,No Response,No Response,2 - 3 times per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,No Response,Never,-9998,-9998,-9998,-9998,-9998,-9998,2,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2942,107,"$75,000 - $99,999","$150,000 - $199,999",25 - 34,0,2.0,5,5,5,4,3,Less than 1 time per week,Almost never,Almost never,Less than 1 time per month,Less than 1 time per month,Almost never,Almost never,Never,6,2,0,0,0,0,0,0,No Response,No Response,Almost never,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,1,0,0,0,0,0,0,0,No Response,Almost never,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,Never
2943,108,"$200,000 or more","$150,000 - $199,999",45 - 54,2,4.0,3,3,4,5,5,About 1 time per week,About 1 time per week,Almost never,Almost never,Less than 1 time per month,Almost never,Almost never,Never,8,8,0,2,0,0,0,0,No Response,No Response,About 1 time per week,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,4,0,0,0,4,-9998,-9998,-9998,No Response,Almost never,Almost never,Almost never,No Response,No Response,No Response,No Response
2944,109,"$100,000 - $149,999","$100,000 - $149,999",45 - 54,0,2.0,5,5,5,4,4,About 1 time per week,Less than 1 time per week,About 1 time per week,Less than 1 time per month,Less than 1 time per week,Almost never,Less than 1 time per month,Never,2,2,0,0,0,0,0,0,No Response,No Response,Less than 1 time per week,Less than 1 time per month,Less than 1 time per week,Almost never,Less than 1 time per month,Never,2,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2945,110,"$75,000 - $99,999","$150,000 - $199,999",45 - 54,0,2.0,1,1,1,3,2,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0,4,0,0,0,0,0,0,Less than 1 time per week,No Response,About 1 time per week,Never,Less than 1 time per month,Never,Almost never,Never,0,0,0,0,0,0,0,0,Never,Almost never,Almost never,Never,Less than 1 time per month,Almost never,Less than 1 time per month,Never
2946,111,"$50,000 - $74,999","$100,000 - $149,999",55 - 59,0,4.0,5,3,1,1,1,About 1 time per week,Almost never,Almost never,Almost never,Less than 1 time per month,Almost never,About 1 time per week,Never,0,0,0,0,0,0,0,0,About 1 time per week,2 - 3 times per week,Less than 1 time per month,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,About 1 time per week,Almost never,0,1,6,3,0,0,2,0,Less than 1 time per week,No Response,No Response,No Response,Less than 1 time per month,Less than 1 time per month,No Response,Almost never
2947,112,"$100,000 - $149,999","$100,000 - $149,999",60 - 64,0,2.0,3,5,2,2,1,Less than 1 time per month,Almost never,Almost never,Never,Less than 1 time per month,Almost never,Less than 1 time per month,Never,0,2,0,0,0,0,0,0,Less than 1 time per week,No Response,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,1,0,0,0,0,0,0,0,No Response,Almost never,Never,Never,Less than 1 time per month,Almost never,Less than 1 time per month,Never
2948,114,"$100,000 - $149,999","$150,000 - $199,999",35 - 44,2,4.0,5,5,4,5,2,Less than 1 time per week,Less than 1 time per week,Almost never,About 1 time per week,More than 5 times per week,Less than 1 time per week,Never,Less than 1 time per week,4,4,2,-9998,-9998,-9998,2,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,1,-9998,-9998,1,11,0,-9998,2,No Response,No Response,No Response,No Response,No Response,Less than 1 time per week,No Response,No Response
2949,116,"$25,000 - $49,999",No Response,35 - 44,0,1.0,1,4,1,4,4,Never,Never,Never,Never,Less than 1 time per week,Never,Less than 1 time per week,Never,5,4,0,2,0,0,0,0,No Response,No Response,Never,No Response,Less than 1 time per week,Less than 1 time per week,Less than 1 time per week,Never,0,0,0,0,0,0,0,0,Almost never,Never,Never,Never,Almost never,Never,Less than 1 time per week,Never
2950,117,"Under $10,000","$200,000 or more",20 - 24,1,3.0,5,5,1,1,2,Less than 1 time per month,Never,Almost never,Less than 1 time per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per week,Less than 1 time per week,0,0,0,0,0,0,0,0,Almost never,Less than 1 time per week,Never,Less than 1 time per week,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,0,2,0,3,4,2,2,5,Less than 1 time per week,No Response,Never,No Response,No Response,No Response,No Response,No Response
2951,118,"$25,000 - $49,999",No Response,75 - 84,0,1.0,4,1,2,2,1,Never,About 1 time per week,Never,About 1 time per week,Almost never,Less than 1 time per month,Never,Never,0,1,0,0,0,0,0,0,Never,No Response,Never,Never,Never,Never,Never,Never,0,2,0,0,0,0,0,0,Never,No Response,Never,Never,Never,Never,Never,Never
